IdList,name,Superkingdom
5506,Fusarium,Eukaryota
91928,Exophiala spinifera,Eukaryota
5476,Candida albicans,Eukaryota
40559,Botrytis cinerea,Eukaryota
708069,Mucor fuscus,Eukaryota
5062,Aspergillus oryzae,Eukaryota
92955,Goffeauzyma gastrica,Eukaryota
69893,Chrysosporium keratinophilum,Eukaryota
87101,Pichia sporocuriosa,Eukaryota
5693,Trypanosoma cruzi,Eukaryota
4932,Saccharomyces cerevisiae,Eukaryota
77020,Malassezia pachydermatis,Eukaryota
34384,Arthrodermataceae,Eukaryota
63417,Trichophyton verrucosum,Eukaryota
5679,Leishmania panamensis,Eukaryota
5551,Trichophyton rubrum,Eukaryota
121759,Paracoccidioides brasiliensis,Eukaryota
324740,Kregervanrija fluxuum,Eukaryota
37769,Cryptococcus gattii,Eukaryota
36080,Mucor circinelloides,Eukaryota
1784,Mycobacterium simiae,Bacteria
1780,Mycobacterium malmoense,Bacteria
5763,Naegleria fowleri,Eukaryota
186538,Zaire ebolavirus,Viruses
108619,Salmonella newport,Bacteria
287,Pseudomonas aeruginosa,Bacteria
47312,Tsukamurella pulmonis,Bacteria
